mag_id	completeness	contamination	contigs	total_length	gc	n50	sample_accession	run_accession	country	project_accession	study_accession	database_origin	reference	rep_95id	rep_99id	taxonomy	species	food_name	sample_name	origin	ingredient_group	main_ingredient	food_type	consistency	alcohol_level	acid_type	fermentation_temperature	aging_time
CM_UNINA_FFOOD__FFOOD_347__bin.3	83.19	2.05	530	2064904	36.8	4765	SAMN46068876	SRR31887321	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	CM_UNINA_FFOOD__FFOOD_385__bin.9	CM_UNINA_FFOOD__FFOOD_347__bin.3	Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Kaistella	Kaistella haifensis	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_347__bin.4	53.14	0.71	555	1493591	70.9	2746	SAMN46068876	SRR31887321	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	MASTER_WP4_FFoQSI_2__VB16-22__bin.7	CM_UNINA_FFOOD__FFOOD_347__bin.4	Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae;Kocuria	Kocuria salsicia	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_347__bin.6	87.6	2.8	149	1599165	39.27	14839	SAMN46068876	SRR31887321	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	Wy2_bin.circ.1	CM_UNINA_FFOOD__FFOOD_392__bin.3	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	Streptococcus thermophilus	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_347__bin.7	86.51	0.01	86	2270993	46.65	37530	SAMN46068876	SRR31887321	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	FontanaF_2023__SRR20746951__bin.4	FontanaF_2023__SRR20746937__bin.4	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus paracasei	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_347__bin.8	86.02	4.48	318	2562713	38.52	12468	SAMN46068876	SRR31887321	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	MagliuloR_2024__SRR28235359__bin.3	CM_UNINA_FFOOD__FFOOD_347__bin.8	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	Acinetobacter albensis	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_348__bin.1	99.47	0.29	82	1630261	39.21	32341	SAMN46068877	SRR31887320	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	Wy2_bin.circ.1	Wy2_bin.circ.1	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	Streptococcus thermophilus	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_348__bin.2	90.51	1.07	223	2552318	46.76	16482	SAMN46068877	SRR31887320	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	FontanaF_2023__SRR20746951__bin.4	FalardeauJ_2023__SRR20811272__bin.11	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus paracasei	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_348__bin.3	88.31	0.29	155	2536846	46.94	26360	SAMN46068877	SRR31887320	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	CM_UNINA_FFOOD__FFOOD_337__bin.6	CM_UNINA_FFOOD__FFOOD_337__bin.6	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus rhamnosus	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_348__bin.4	99.31	1.53	169	1762417	36.09	15188	SAMN46068877	SRR31887320	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	FontanaF_2023__SRR20746979__bin.3	DuruIC_2018__ERS2061100__bin.3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus helveticus	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_348__bin.5	85.36	0.2	81	2075929	43.79	34041	SAMN46068877	SRR31887320	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	LandisEA_2021__SRS5653155__bin.1	MASTER_WP4_UNINA_1__MO005_73417__bin.9	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus	Lentilactobacillus parabuchneri	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_348__bin.6	79.59	0.62	145	1400780	51.07	12576	SAMN46068877	SRR31887320	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	GCF_006740305.1_ASM674030v1_genomic	DeFilippisF_xxxx__DF_33__bin.8	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus delbrueckii	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_350__bin.2	83.47	3.7	232	2372713	46.93	14281	SAMN46068879	SRR31887317	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	CM_UNINA_FFOOD__FFOOD_337__bin.6	CM_UNINA_FFOOD__FFOOD_337__bin.6	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus rhamnosus	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_350__bin.3	87.84	0.85	198	2541046	53.68	17269	SAMN46068879	SRR31887317	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	GCF_008694105.1_ASM869410v1_genomic	DeFilippisF_xxxx__DF_33__bin.11	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Schleiferilactobacillus	Schleiferilactobacillus harbinensis	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_350__bin.4	83.36	0.08	82	1461857	50.85	23503	SAMN46068879	SRR31887317	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	GCF_006740305.1_ASM674030v1_genomic	DeFilippisF_xxxx__DF_73__bin.4	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus delbrueckii	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_350__bin.5	81.54	1.78	138	1452573	36.45	15985	SAMN46068879	SRR31887317	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	FontanaF_2023__SRR20746979__bin.3	DuruIC_2018__ERS2061100__bin.3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus helveticus	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_351__bin.2	86.91	3.7	337	1842080	35.92	7434	SAMN46068880	SRR31887316	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	FontanaF_2023__SRR20746979__bin.3	DuruIC_2018__ERS2061100__bin.3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Lactobacillus helveticus	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_351__bin.4	99.72	0.28	77	2903418	46.7	53483	SAMN46068880	SRR31887316	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	CM_UNINA_FFOOD__FFOOD_337__bin.6	CM_UNINA_FFOOD__FFOOD_337__bin.6	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus rhamnosus	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_351__bin.5	99.93	0.23	68	1771923	38.85	44492	SAMN46068880	SRR31887316	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	Wy2_bin.circ.1	CM_UNINA_FFOOD__FFOOD_392__bin.3	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	Streptococcus thermophilus	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_352__bin.1	87.01	0.22	103	2739859	46.75	39976	SAMN46068881	SRR31887315	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	CM_UNINA_FFOOD__FFOOD_337__bin.6	CM_UNINA_FFOOD__FFOOD_337__bin.6	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus rhamnosus	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_352__bin.2	99.99	0.74	59	2452366	67.52	68505	SAMN46068881	SRR31887315	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	CM_UNINA_FFOOD__FFOOD_408__bin.5	MAG_469	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacterium	Propionibacterium freudenreichii	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_352__bin.3	82.98	0.37	89	1974830	44.67	32286	SAMN46068881	SRR31887315	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	DeFilippisF_xxxx__DF_30__bin.3	DeFilippisF_xxxx__DF_30__bin.3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus	Lentilactobacillus buchneri	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
CM_UNINA_FFOOD__FFOOD_352__bin.6	77.67	0.28	100	2006608	48.34	27642	SAMN46068881	SRR31887315	Italy	PRJNA1206071	SRP555193	NCBI	Carlino N, Blanco-Míguez A, Punčochář M, Mengoni C, Pinto F, Tatti A, Manghi P, Armanini F, Avagliano M, Barcenilla C, Breselge S, Cabrera-Rubio R, Calvete-Torre I, Coakley M, Cobo-Díaz JF, De Filippis F, Dey H, Leech J, Klaassens ES, Knobloch S, O'Neil D, Quijada NM, Sabater C, Skírnisdóttir S, Valentino V, Walsh L; MASTER EU Consortium; Alvarez-Ordóñez A, Asnicar F, Fackelmann G, Heidrich V, Margolles A, Marteinsson VT, Rota Stabelli O, Wagner M, Ercolini D, Cotter PD, Segata N, Pasolli E. Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome. Cell. 2024 Oct 3;187(20):5775-5795.e15. doi: 10.1016/j.cell.2024.07.039.	CM_UNINA_FFOOD__FFOOD_415__bin.4	CM_UNINA_FFOOD__FFOOD_415__bin.4	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	Lacticaseibacillus casei	cheese	cheese	Animal	Dairy	milk	cheese	solid	low	lactic	mesophilic	1-3 months
