genome,completeness,contamination
LandisEA_2021__SRS5653393__bin.1,55.47839506,0.925925926
LandisEA_2021__SRS5653396__bin.8,91.97530864,2.160493827
LandisEA_2021__SRS5653396__bin.5,89.0625,0.625
LandisEA_2021__SRS5653396__bin.3,55.72139303,0.0
LandisEA_2021__SRS5653396__bin.15,54.72636816,0.0
LandisEA_2021__SRS5653399__bin.4,99.375,0.625
LandisEA_2021__SRS5653399__bin.3,92.11956522,0.27173913
LandisEA_2021__SRS5653399__bin.1,51.24378109,0.0
LeechJ_2020__ERS3967688__bin.1,88.78626433,0.207943439
LeechJ_2020__ERS3967688__bin.3,81.6389795,3.258024244
LeechJ_2020__ERS3967688__bin.2,99.37169312,0.037202381
LeechJ_2020__ERS3967688__bin.4,76.11358019,2.350501802
LeechJ_2020__ERS3967689__bin.2,68.41616738,0.325709734
LeechJ_2020__ERS3967689__bin.5,87.87765293,2.244069913
LeechJ_2020__ERS3967689__bin.4,95.78672083,1.030683107
LeechJ_2020__ERS3967689__bin.3,59.63949843,1.724137931
LeechJ_2020__ERS3967689__bin.6,79.6,0.1
LeechJ_2020__ERS3967690__bin.4,99.50248756,0.497512438
LeechJ_2020__ERS3967690__bin.2,98.41269841,1.234567901
LeechJ_2020__ERS3967690__bin.1,98.9375,0.625
LeechJ_2020__ERS3967690__bin.9,90.64473575,2.63175812
LeechJ_2020__ERS3967690__bin.3,68.34665335,0.76037447
LeechJ_2020__ERS3967690__bin.8,66.55172414,0.0
LeechJ_2020__ERS3967691__bin.4,95.43721909,0.970017637
LeechJ_2020__ERS3967691__bin.13,92.61758691,1.533742331
LeechJ_2020__ERS3967691__bin.10,64.30041152,0.685871056
LeechJ_2020__ERS3967692__bin.5,100.0,0.995024876
LeechJ_2020__ERS3967692__bin.3,83.13443073,3.395061728
LeechJ_2020__ERS3967692__bin.2,99.375,0.625
LeechJ_2020__ERS3967692__bin.7,97.47942387,3.347050754
LeechJ_2020__ERS3967692__bin.1,98.75,1.163194444
LeechJ_2020__ERS3967692__bin.4,99.47643979,0.523560209
LeechJ_2020__ERS3967692__bin.6,52.9,0.9
LeechJ_2020__ERS3967693__bin.5,78.65226337,3.534685479
LeechJ_2020__ERS3967693__bin.1,90.18575993,4.554073034
LeechJ_2020__ERS3967694__bin.3,70.1,0.6
LeechJ_2020__ERS3967694__bin.5,95.4,1.7
LeechJ_2020__ERS3967695__bin.14,55.55555556,0.617283951
LeechJ_2020__ERS3967695__bin.6,81.25284243,3.436329588
LeechJ_2020__ERS3967695__bin.11,72.6,1.2
LeechJ_2020__ERS3967696__bin.5,89.23545725,0.0
LeechJ_2020__ERS3967696__bin.4,52.00086964,0.330687831
LeechJ_2020__ERS3967696__bin.2,59.25925926,0.617283951
LeechJ_2020__ERS3967696__bin.3,73.27586207,0.0
LeechJ_2020__ERS3967697__bin.3,99.29453263,0.0
LeechJ_2020__ERS3967697__bin.7,83.82009795,0.497512438
LeechJ_2020__ERS3967697__bin.1,82.29885057,4.310344828
LeechJ_2020__ERS3967698__bin.1,99.00557445,0.394828386
LeechJ_2020__ERS3967698__bin.6,62.87878788,3.50877193
LeechJ_2020__ERS3967698__bin.4,58.93141946,2.631578947
LeechJ_2020__ERS3967699__bin.3,98.35390947,2.777777778
LeechJ_2020__ERS3967699__bin.4,66.72413793,1.724137931
LeechJ_2020__ERS3967699__bin.8,52.98245614,0.0
LeechJ_2020__ERS3967699__bin.2,98.01267281,0.376082251
LeechJ_2020__ERS3967699__bin.1,98.68852459,0.511839709
LeechJ_2020__ERS3967700__bin.4,99.47089947,0.529100529
LeechJ_2020__ERS3967700__bin.1,99.87421384,0.377358491
LeechJ_2020__ERS3967700__bin.2,54.4,0.6
LeechJ_2020__ERS3967701__bin.5,100.0,0.0
LeechJ_2020__ERS3967701__bin.6,97.90575916,0.261780105
LeechJ_2020__ERS3967701__bin.3,97.86096257,0.178253119
LeechJ_2020__ERS3967701__bin.4,98.51325145,0.904977376
LeechJ_2020__ERS3967701__bin.1,99.31966016,0.502712308
LeechJ_2020__ERS3967701__bin.2,88.7,0.1
LeechJ_2020__ERS3967702__bin.7,99.33774834,0.662251656
LeechJ_2020__ERS3967702__bin.6,80.83434034,1.130587204
LeechJ_2020__ERS3967702__bin.4,90.55194805,0.216450216
LeechJ_2020__ERS3967702__bin.1,88.76404494,0.0
LeechJ_2020__ERS3967702__bin.3,98.78587196,0.220750552
LeechJ_2020__ERS3967702__bin.2,92.96187683,4.838709677
LeechJ_2020__ERS3967703__bin.5,74.73374296,0.476190476
LeechJ_2020__ERS3967703__bin.6,98.02018634,1.086956522
LeechJ_2020__ERS3967703__bin.3,66.61254562,0.040799674
LeechJ_2020__ERS3967704__bin.2,79.26634769,0.0
LeechJ_2020__ERS3967704__bin.1,65.23736754,1.31515444
LeechJ_2020__ERS3967706__bin.3,99.07834101,0.0
LeechJ_2020__ERS3967706__bin.2,65.51724138,0.0
LeechJ_2020__ERS3967707__bin.11,82.48847926,1.058201058
LeechJ_2020__ERS3967707__bin.7,99.89082969,0.436681223
LeechJ_2020__ERS3967707__bin.10,93.75,1.358695652
LeechJ_2020__ERS3967707__bin.4,86.52992805,3.008048499
LeechJ_2020__ERS3967708__bin.1,65.51724138,0.0
LeechJ_2020__ERS3967708__bin.2,91.66666667,1.058201058
LeechJ_2020__ERS3967708__bin.3,95.62842362,2.012578616
LeechJ_2020__ERS3967710__bin.8,57.89473684,1.754385965
LeechJ_2020__ERS3967710__bin.2,50.4305678,1.768261317
LeechJ_2020__ERS3967711__bin.3,95.91750842,1.28600823
LeechJ_2020__ERS3967711__bin.6,97.23502304,0.0
LeechJ_2020__ERS3967711__bin.15,68.15843621,1.234567901
LeechJ_2020__ERS3967711__bin.14,80.88235714,0.239940938
LeechJ_2020__ERS3967711__bin.11,79.07608696,0.543478261
LeechJ_2020__ERS3967711__bin.13,97.20470786,1.950169139
LeechJ_2020__ERS3967711__bin.10,59.1,1.2
LeechJ_2020__ERS3967712__bin.13,65.96858639,0.0
LeechJ_2020__ERS3967712__bin.8,82.1031746,0.74500768
LeechJ_2020__ERS3967712__bin.4,91.06049981,1.585144928
LeechJ_2020__ERS3967712__bin.12,56.89655172,0.0
LeechJ_2020__ERS3967713__bin.12,94.00749064,1.563670412
LeechJ_2020__ERS3967714__bin.8,94.9325039,3.85480953
LeechJ_2020__ERS3967714__bin.5,91.58374793,3.233830846
LeechJ_2020__ERS3967714__bin.6,92.7,2.4
LeechJ_2020__ERS3967715__bin.7,97.59158752,1.741293532
LeechJ_2020__ERS3967715__bin.4,92.81223404,2.051326943
LeechJ_2020__ERS3967715__bin.12,83.89261745,0.0
LeechJ_2020__ERS3967715__bin.5,96.50739477,1.990898749
LeechJ_2020__ERS3967715__bin.10,94.56285714,0.5
LeechJ_2020__ERS3967715__bin.1,96.49122807,0.109649123
LeechJ_2020__ERS3967715__bin.3,77.09637116,0.594417077
LeechJ_2020__ERS3967715__bin.8,99.83606557,0.229508197
LeechJ_2020__ERS3967716__bin.6,70.49374589,1.851851852
LeechJ_2020__ERS3967716__bin.4,97.59158752,0.746268657
LeechJ_2020__ERS3967716__bin.10,76.71981004,0.861284973
LeechJ_2020__ERS3967716__bin.7,60.7214176,1.225038402
LeechJ_2020__ERS3967716__bin.16,81.66666667,2.445652174
LeechJ_2020__ERS3967716__bin.5,85.90604027,0.67114094
LeechJ_2020__ERS3967716__bin.15,98.09442548,2.673492605
LeechJ_2020__ERS3967717__bin.6,94.12826421,1.516897081
LeechJ_2020__ERS3967717__bin.5,94.39699793,2.241847826
LeechJ_2020__ERS3967717__bin.4,63.43567475,2.669448457
LeechJ_2020__ERS3967719__bin.1,69.01776385,0.0
LeechJ_2020__ERS3967719__bin.10,56.22357476,0.314465409
LeechJ_2020__ERS3967719__bin.7,84.3120474,0.51843318
LeechJ_2020__ERS3967719__bin.4,67.24137931,0.0
LeechJ_2020__ERS3967720__bin.1,54.44791017,0.0
LeechJ_2020__ERS3967720__bin.2,99.0015361,0.296247531
LeechJ_2020__ERS3967720__bin.5,98.09782609,1.494565217
LeechJ_2020__ERS3967721__bin.2,96.95767196,2.174574728
LeechJ_2020__ERS3967721__bin.4,89.58099397,0.573144105
LeechJ_2020__ERS3967721__bin.3,52.71698113,0.849056604
LeechJ_2020__ERS3967721__bin.5,78.93171608,1.981132075
LeechJ_2020__ERS3967722__bin.4,98.9375,0.625
LeechJ_2020__ERS3967722__bin.9,96.27902156,0.746268657
LeechJ_2020__ERS3967722__bin.8,77.80100212,1.612903226
LeechJ_2020__ERS3967722__bin.15,79.34706145,0.815217391
LeechJ_2020__ERS3967722__bin.12,80.01953125,0.3125
LeechJ_2020__ERS3967722__bin.6,62.8294909,0.925925926
LeechJ_2020__ERS3967723__bin.14,99.47643979,1.528458031
LeechJ_2020__ERS3967723__bin.17,98.17846253,3.814262023
LeechJ_2020__ERS3967723__bin.19,79.69577979,1.439790576
LeechJ_2020__ERS3967723__bin.4,77.15757114,3.818031057
LeechJ_2020__ERS3967723__bin.16,66.9393988,1.990049751
LeechJ_2020__ERS3967723__bin.2,62.98850575,0.0
LeechJ_2020__ERS3967723__bin.12,97.59358289,2.406417112
LeechJ_2020__ERS3967723__bin.8,93.89339313,0.0
LeechJ_2020__ERS3967724__bin.7,99.75124378,0.0
LeechJ_2020__ERS3967724__bin.1,95.4642112,0.497512438
LeechJ_2020__ERS3967724__bin.4,99.47643979,1.178010471
LeechJ_2020__ERS3967724__bin.3,97.32620321,0.0
LeechJ_2020__ERS3967725__bin.1,83.75132334,4.213836478
LeechJ_2020__ERS3967726__bin.2,58.77192982,1.754385965
LeechJ_2020__ERS3967727__bin.5,75.92806976,2.1875
LeechJ_2020__ERS3967727__bin.6,95.70446462,1.05772898
LeechJ_2020__ERS3967727__bin.9,98.50746269,1.786521936
LeechJ_2020__ERS3967727__bin.7,98.77525253,3.196969697
LeechJ_2020__ERS3967727__bin.3,98.95287958,0.130890052
LeechJ_2020__ERS3967727__bin.8,92.53731343,0.621890547
LeechJ_2020__ERS3967728__bin.8,99.75124378,0.0
LeechJ_2020__ERS3967728__bin.1,81.53769841,0.416666667
LeechJ_2020__ERS3967728__bin.6,94.85012175,1.690356745
LeechJ_2020__ERS3967728__bin.5,94.25631313,3.992424242
LeechJ_2020__ERS3967728__bin.7,98.14220571,0.130890052
LeechJ_2020__ERS3967728__bin.3,98.46223428,3.03030303
LeechJ_2020__ERS3967730__bin.5,89.51556011,3.56917873
LeechJ_2020__ERS3967731__bin.1,79.9382716,1.851851852
LeechJ_2020__ERS3967732__bin.5,63.8,0.3
LeechJ_2020__ERS3967733__bin.7,80.97740801,2.394057765
LeechJ_2020__ERS3967733__bin.5,61.1204639,3.549382716
LeechJ_2020__ERS3967733__bin.4,95.86797682,3.880070547
LeechJ_2020__ERS3967733__bin.9,66.56441718,1.472392638
LeechJ_2020__ERS3967733__bin.2,99.22839506,1.080246914
LeechJ_2020__ERS3967734__bin.5,94.17001843,0.641025641
LeechJ_2020__ERS3967734__bin.7,51.96944674,1.647398844
LeechJ_2020__ERS3967734__bin.8,91.66666667,0.986842105
LeechJ_2020__ERS3967735__bin.13,90.625,0.0
LeechJ_2020__ERS3967735__bin.11,91.66666667,3.665223665
LeechJ_2020__ERS3967735__bin.12,71.91358025,1.234567901
LeechJ_2020__ERS3967735__bin.10,91.14913305,2.579365079
LeechJ_2020__ERS3967735__bin.8,98.75,0.178571429
LeechJ_2020__ERS3967736__bin.3,97.421875,1.261160714
LeechJ_2020__ERS3967736__bin.6,90.24331739,4.198232323
LeechJ_2020__ERS3967736__bin.1,99.38271605,2.777777778
LeechJ_2020__ERS3967737__bin.5,99.38271605,0.0
LeechJ_2020__ERS3967737__bin.2,81.42841182,2.136752137
LeechJ_2020__ERS3967737__bin.1,66.20057156,3.389756944
LeechJ_2020__ERS3967738__bin.3,53.70452291,1.892361111
LeechJ_2020__ERS3967738__bin.1,98.554606,0.995024876
LeechJ_2020__ERS3967738__bin.4,97.89125609,0.0
LeechJ_2020__ERS3967738__bin.5,96.0199005,0.0
LeechJ_2020__ERS3967738__bin.2,91.41822048,1.741293532
LeechJ_2020__ERS3967739__bin.3,97.74514524,0.497512438
LeechJ_2020__ERS3967739__bin.10,96.96969697,3.03030303
LeechJ_2020__ERS3967739__bin.11,95.52238806,0.0
LeechJ_2020__ERS3967739__bin.2,82.52622518,2.487562189
LeechJ_2020__ERS3967739__bin.5,68.4079602,0.248756219
LeechJ_2020__ERS3967740__bin.8,99.38271605,2.777777778
LeechJ_2020__ERS3967740__bin.10,99.38271605,0.0
LeechJ_2020__ERS3967740__bin.6,96.92057292,2.5
LeechJ_2020__ERS3967740__bin.5,51.42473118,0.307219662
LeechJ_2020__ERS3967740__bin.4,58.92372391,1.639344262
LeechJ_2020__ERS3967740__bin.7,100.0,0.0
LeechJ_2020__ERS3967740__bin.11,99.375,0.78125
LeechJ_2020__ERS3967741__bin.6,100.0,0.705467372
LeechJ_2020__ERS3967741__bin.13,94.07799047,1.369242779
LeechJ_2020__ERS3967741__bin.9,99.12609238,0.0
LeechJ_2020__ERS3967741__bin.2,97.89050728,1.38121547
LeechJ_2020__ERS3967741__bin.11,84.87103175,0.595238095
LeechJ_2020__ERS3967741__bin.12,63.68421053,0.0
LeechJ_2020__ERS3967741__bin.14,91.57608696,1.086956522
LeechJ_2020__ERS3967741__bin.4,66.07142857,0.0
LeechJ_2020__ERS3967741__bin.10,57.0,0.4
LeechJ_2020__ERS3967742__bin.2,68.98680124,0.815217391
LeechJ_2020__ERS3967742__bin.1,97.99382716,0.019290123
LeechJ_2020__ERS3967742__bin.3,93.4,1.4
LeechJ_2020__ERS3967743__bin.2,97.87117904,0.363901019
LeechJ_2020__ERS3967743__bin.1,60.34482759,0.0
LeechJ_2020__ERS3967744__bin.6,98.9375,0.625
LeechJ_2020__ERS3967744__bin.7,50.74626866,0.0
LeechJ_2020__ERS3967745__bin.1,51.17273791,0.115207373
LeechJ_2020__ERS3967745__bin.4,65.66557493,0.815217391
LeechJ_xxxx__AF03__bin.2,66.66666667,0.0
LeechJ_xxxx__AF03__bin.9,90.33000159,2.897033159
LeechJ_xxxx__AF03__bin.7,70.19886364,2.5
LeechJ_xxxx__AF04__bin.6,96.22040073,0.364298725
LeechJ_xxxx__AF04__bin.3,86.80785124,0.699760766
LeechJ_xxxx__AF04__bin.7,71.54220779,1.753246753
LeechJ_xxxx__AF04__bin.1,92.09592974,2.137870855
LeechJ_xxxx__AF04__bin.4,50.52076366,1.232718894
LeechJ_xxxx__AF05__bin.2,97.47942387,0.308641975
LeechJ_xxxx__AF06__bin.3,88.93624384,2.291405858
LeechJ_xxxx__AF06__bin.5,54.07523511,1.724137931
LeechJ_xxxx__AF06__bin.6,77.89968652,0.0
LeechJ_xxxx__AF06__bin.4,93.76284875,2.294944409
LeechJ_xxxx__AF06__bin.8,82.33695652,3.537200294
LeechJ_xxxx__AF09__bin.3,80.10553464,1.56327615
LeechJ_xxxx__AF09__bin.10,81.03448276,0.0
LeechJ_xxxx__AF09__bin.2,58.91891892,0.0
LeechJ_xxxx__AF09__bin.7,98.06629834,0.552486188
LeechJ_xxxx__AF10__bin.11,81.03448276,0.0
LeechJ_xxxx__AF10__bin.14,62.06896552,0.0
LeechJ_xxxx__AF10__bin.10,70.03311258,0.331125828
LeechJ_xxxx__AF10__bin.16,55.17241379,0.0
LeechJ_xxxx__AF11__bin.10,56.89655172,0.0
LeechJ_xxxx__AF11__bin.5,93.93738977,3.759820426
LeechJ_xxxx__AF11__bin.12,50.61167051,0.690161527
LeechJ_xxxx__AF11__bin.2,94.03796654,1.614114114
LeechJ_xxxx__AF11__bin.3,84.1,0.1
LeechJ_xxxx__AF11__bin.9,96.5,0.2
LeechJ_xxxx__AF12__bin.4,89.38979964,2.732240437
LeechJ_xxxx__AF12__bin.1,98.16017316,0.0
LeechJ_xxxx__AF14__bin.7,94.37843859,4.746376812
LeechJ_xxxx__AF14__bin.5,93.31674959,0.995024876
LeechJ_xxxx__AF14__bin.3,97.94007491,0.374531835
LeechJ_xxxx__AF14__bin.9,96.31050767,0.059031877
LeechJ_xxxx__AF14__bin.10,51.2,0.0
LeechJ_xxxx__AF14__bin.4,97.7,0.1
LeechJ_xxxx__AF14__bin.6,79.5,0.5
LeechJ_xxxx__AF15__bin.8,97.16981132,0.950747366
LeechJ_xxxx__AF15__bin.5,95.61778001,4.972375691
LeechJ_xxxx__AF15__bin.2,88.93115942,4.460638999
LeechJ_xxxx__AF15__bin.4,77.41789117,2.841329195
LeechJ_xxxx__AF15__bin.6,78.99056793,1.865342163
LeechJ_xxxx__AF15__bin.7,91.44493718,0.609756098
LeechJ_xxxx__AF16__bin.2,90.98360656,1.092896175
LeechJ_xxxx__AF16__bin.3,93.49222747,1.039734075
LeechJ_xxxx__AF16__bin.7,67.46089932,1.1983588
LeechJ_xxxx__AF17__bin.4,74.48275862,1.724137931
LeechJ_xxxx__AF17__bin.3,98.54613845,1.020171958
LeechJ_xxxx__AF17__bin.5,95.36523356,2.247983871
LeechJ_xxxx__AF17__bin.1,98.9,0.0
LeechJ_xxxx__AF17__bin.2,88.7,0.1
LeechJ_xxxx__AF18__bin.1,95.90163934,0.819672131
LeechJ_xxxx__AF18__bin.7,51.72413793,0.0
LeechJ_xxxx__AF18__bin.5,66.37931034,1.724137931
LeechJ_xxxx__AF18__bin.2,95.10869565,0.543478261
LeechJ_xxxx__AF19__bin.4,99.42410531,0.0
LeechJ_xxxx__AF19__bin.3,97.46945899,1.460901875
LeechJ_xxxx__AF19__bin.7,73.64341085,0.0
LeechJ_xxxx__AF20__bin.5,51.94154661,0.655737705
LeechJ_xxxx__AF21__bin.4,100.0,0.0
LeechJ_xxxx__AF21__bin.7,97.9930192,1.178010471
LeechJ_xxxx__AF21__bin.6,62.27390181,1.162790698
LeechJ_xxxx__AF22__bin.5,94.92583919,0.546448087
LeechJ_xxxx__AF22__bin.3,79.74295982,0.754483612
LeechJ_xxxx__AF22__bin.1,85.93565525,0.789551358
LeechJ_xxxx__AF23__bin.3,86.534348,2.488687783
LeechJ_xxxx__AF23__bin.2,58.62068966,0.0
LeechJ_xxxx__AF23__bin.7,96.40883978,0.0
LeechJ_xxxx__AF23__bin.9,89.39464215,2.705627706
LeechJ_xxxx__AF24__bin.9,97.28983945,2.076406911
LeechJ_xxxx__AF24__bin.1,98.89502762,0.552486188
LeechJ_xxxx__AF24__bin.6,84.25414365,2.578268877
LeechJ_xxxx__AF24__bin.7,92.93478261,3.260869565
LeechJ_xxxx__AF25__bin.2,93.85245902,2.845669813
LeechJ_xxxx__AF25__bin.19,66.37931034,0.0
LeechJ_xxxx__AF25__bin.13,63.79310345,4.310344828
LeechJ_xxxx__AF25__bin.6,94.927695,4.158898361
LeechJ_xxxx__AF25__bin.1,54.20413342,1.114135245
LeechJ_xxxx__AF25__bin.5,97.8125,0.3125
LeechJ_xxxx__AF25__bin.11,75.4,0.9
LeechJ_xxxx__AF25__bin.17,95.9,0.0
LeechJ_xxxx__AF26__bin.8,56.89655172,0.0
LeechJ_xxxx__AF26__bin.3,66.37931034,0.862068966
LeechJ_xxxx__AF26__bin.6,59.48275862,0.0
LeechJ_xxxx__AF26__bin.15,93.05811015,2.059694691
LeechJ_xxxx__AF26__bin.2,76.55403087,0.578616352
LeechJ_xxxx__AF26__bin.12,78.84901199,1.661907028
LeechJ_xxxx__AF26__bin.11,67.98298082,1.657940663
LeechJ_xxxx__AF26__bin.5,80.0,0.1
LeechJ_xxxx__AF26__bin.14,70.9,0.1
LeechJ_xxxx__AF27__bin.6,87.34005684,2.23305261
LeechJ_xxxx__AF27__bin.2,56.43166727,0.822791927
LeechJ_xxxx__AF27__bin.1,96.13259669,1.952117864
LeechJ_xxxx__AF27__bin.4,50.34482759,1.724137931
LeechJ_xxxx__AF27__bin.5,61.28164465,0.44837907
LeechJ_xxxx__AF28__bin.1,93.8,1.7
LeechJ_xxxx__AF29__bin.4,58.528997,0.0
LeechJ_xxxx__AF29__bin.9,98.26628005,1.061173533
LeechJ_xxxx__AF29__bin.12,97.14673913,0.815217391
LeechJ_xxxx__AF29__bin.3,89.42345533,1.64973014
LeechJ_xxxx__AF29__bin.13,78.18499127,0.785340314
LeechJ_xxxx__AF29__bin.5,68.23427108,1.162835926
LeechJ_xxxx__AF29__bin.2,81.6576087,0.724637681
LeechJ_xxxx__AF29__bin.7,56.8,0.9
LeechJ_xxxx__AF29__bin.14,97.3,1.1
LeechJ_xxxx__AF30__bin.2,66.68444807,0.485908478
LeechJ_xxxx__AF30__bin.1,67.24137931,0.0
LeechJ_xxxx__AF31__bin.3,100.0,0.0
LeechJ_xxxx__AF31__bin.6,91.12246684,1.523832451
LeechJ_xxxx__AF31__bin.5,90.08587041,1.051975523
LeechJ_xxxx__AF31__bin.7,87.66233766,0.0
LeechJ_xxxx__AF31__bin.1,61.3,0.0
LeechJ_xxxx__AF31__bin.2,89.3,2.1
LeechJ_xxxx__AF32__bin.1,93.7,1.6
LeechJ_xxxx__AF33__bin.1,96.99453552,0.819672131
LeechJ_xxxx__AF34__bin.2,98.48484848,1.704545455
LeechJ_xxxx__AF34__bin.1,94.14592516,2.34082397
LeechJ_xxxx__AF34__bin.8,71.55172414,0.0
LeechJ_xxxx__AF34__bin.5,85.99192759,2.490660025
LeechJ_xxxx__AF37__bin.3,91.50403331,1.202185792
LeechJ_xxxx__AF37__bin.1,62.33128834,1.278118609
LeechJ_xxxx__AF38__bin.2,90.69664903,3.095238095
LeechJ_xxxx__AF38__bin.5,89.09836066,1.839708561
LeechJ_xxxx__AF38__bin.7,89.46007696,4.707856858
LeechJ_xxxx__AF39__bin.1,100.0,4.07239819
LeechJ_xxxx__AF39__bin.6,97.54098361,0.819672131
LeechJ_xxxx__AF39__bin.3,89.06299465,3.28811677
LeechJ_xxxx__AF39__bin.5,89.42045035,3.588375449
LeechJ_xxxx__AF39__bin.7,75.96718473,1.665815458
LeechJ_xxxx__AF39__bin.4,94.8,2.2
LeechJ_xxxx__AF40__bin.3,77.92627229,1.731601732
LeechJ_xxxx__AF40__bin.1,97.4,2.0
LeechJ_xxxx__AF41__bin.7,98.37662338,0.0
LeechJ_xxxx__AF41__bin.1,94.18463651,0.0
LeechJ_xxxx__AF41__bin.5,94.79166667,1.136363636
LeechJ_xxxx__AF41__bin.3,73.83540373,0.0
LeechJ_xxxx__AF41__bin.4,98.80952381,0.405844156
LeechJ_xxxx__AF42__bin.2,88.95768351,1.30449851
LeechJ_xxxx__AF42__bin.3,93.59772059,0.983146067
LeechJ_xxxx__AF42__bin.1,84.30735931,0.649350649
LeechJ_xxxx__AF43__bin.4,83.91121457,3.333333333
LeechJ_xxxx__AF43__bin.10,91.05960265,2.527593819
LeechJ_xxxx__AF43__bin.11,89.29359823,1.600441501
LeechJ_xxxx__AF43__bin.12,94.61835334,1.886792453
LeechJ_xxxx__AF43__bin.3,92.78145695,3.642384106
LeechJ_xxxx__AF43__bin.5,93.92935982,2.70419426
LeechJ_xxxx__AF43__bin.8,79.79139362,3.81170817
LeechJ_xxxx__AF44__bin.13,87.84153005,1.821493625
LeechJ_xxxx__AF44__bin.9,99.38271605,0.843621399
LeechJ_xxxx__AF44__bin.8,70.75055188,2.98013245
LeechJ_xxxx__AF44__bin.2,90.47749154,4.184881603
LeechJ_xxxx__AF44__bin.3,64.61649818,1.937172775
LeechJ_xxxx__AF45__bin.4,96.70916818,3.636915604
LeechJ_xxxx__AF45__bin.1,97.34643735,3.093093093
LeechJ_xxxx__AF45__bin.11,97.22222222,3.224206349
LeechJ_xxxx__AF45__bin.5,92.22657099,1.350837139
LeechJ_xxxx__AF45__bin.7,93.2096273,2.23132969
LeechJ_xxxx__AF45__bin.9,97.79005525,4.660893375
LeechJ_xxxx__AF46__bin.3,99.52651515,1.672979798
LeechJ_xxxx__AF46__bin.1,96.2191358,1.446208113
LeechJ_xxxx__AF46__bin.5,72.32544552,0.669269381
LeechJ_xxxx__AF47__bin.4,95.92896175,4.792184136
LeechJ_xxxx__AF47__bin.7,99.00662252,2.869757174
LeechJ_xxxx__AF47__bin.3,94.21784023,2.494481711
LeechJ_xxxx__AF47__bin.1,95.93169262,1.197053407
LeechJ_xxxx__AF47__bin.6,98.67549669,1.214128035
LeechJ_xxxx__AF48__bin.5,89.25870729,2.245304943
LeechJ_xxxx__AF48__bin.8,93.59481004,3.349343713
LeechJ_xxxx__AF48__bin.7,92.05298013,2.649006623
LeechJ_xxxx__AF49__bin.1,97.4726776,1.74863388
LeechJ_xxxx__AF49__bin.3,93.77572016,0.329218107
LeechJ_xxxx__AF49__bin.2,91.56441718,1.226993865
LeechJ_xxxx__AF49__bin.4,93.11997288,1.303155007
LeechJ_xxxx__AF50__bin.1,92.21193416,2.386831276
LeechJ_xxxx__AF51__bin.7,91.90619483,2.487562189
LeechJ_xxxx__AF51__bin.5,76.39964359,0.573101141
LeechJ_xxxx__AF51__bin.13,61.20689655,0.0
LeechJ_xxxx__AF51__bin.15,98.36956522,2.173913043
LeechJ_xxxx__AF51__bin.18,94.86816214,4.910490512
LeechJ_xxxx__AF51__bin.9,54.17836283,2.487562189
LeechJ_xxxx__AF52__bin.5,91.11956805,2.224790995
LeechJ_xxxx__AF52__bin.3,54.8706733,0.646899007
LeechJ_xxxx__AF52__bin.4,98.89502762,1.104972376
LeechJ_xxxx__AF52__bin.1,94.53642384,3.752759382
LeechJ_xxxx__AF53__bin.1,82.11670144,4.228855721
LeechJ_xxxx__AF53__bin.9,98.08743169,0.0
LeechJ_xxxx__AF53__bin.2,95.77922078,0.0
LeechJ_xxxx__AF53__bin.12,53.44827586,1.724137931
LeechJ_xxxx__AF53__bin.10,62.43849788,0.065486296
LeechJ_xxxx__AF53__bin.8,72.1715755,1.679841897
LeechJ_xxxx__AF53__bin.11,94.56521739,1.630434783
LeechJ_xxxx__AF54__bin.5,60.62720766,2.116564417
LeechJ_xxxx__AF54__bin.10,95.09987516,1.785714286
LeechJ_xxxx__AF54__bin.3,94.2325856,0.334513971
LeechJ_xxxx__AF54__bin.1,98.24016563,0.432312253
LeechJ_xxxx__AF54__bin.8,57.8125,0.0
LeechJ_xxxx__AF55__bin.11,71.17715618,2.484574249
LeechJ_xxxx__AF55__bin.14,96.08378871,0.182149362
LeechJ_xxxx__AF55__bin.8,86.30379101,1.274077047
LeechJ_xxxx__AF55__bin.16,97.48062016,1.034206964
LeechJ_xxxx__AF55__bin.10,75.65830721,1.724137931
LeechJ_xxxx__AF55__bin.3,57.24137931,2.586206897
LeechJ_xxxx__AF55__bin.6,92.12133953,1.725361197
LeechJ_xxxx__AF55__bin.7,95.8,1.9
LeechJ_xxxx__AF56__bin.9,53.49600272,1.583765354
LeechJ_xxxx__AF56__bin.2,79.31034483,0.0
LeechJ_xxxx__AF56__bin.13,82.13209442,2.44014733
LeechJ_xxxx__AF56__bin.15,67.24137931,0.0
LeechJ_xxxx__AF56__bin.5,88.2781457,1.048565121
LeechJ_xxxx__AF57__bin.12,52.32704403,0.188679245
LeechJ_xxxx__AF57__bin.10,90.66316097,0.976017847
LeechJ_xxxx__AF57__bin.11,90.59991255,0.717447347
LeechJ_xxxx__AF57__bin.6,98.41432757,0.941759603
LeechJ_xxxx__AF57__bin.8,98.34254144,0.695063269
LeechJ_xxxx__AF57__bin.5,94.56521739,2.309782609
LeechJ_xxxx__AF57__bin.1,97.24137931,0.752351097
LeechJ_xxxx__AF58__bin.3,92.3190545,4.575536789
LeechJ_xxxx__AF58__bin.6,90.99318455,1.442495181
LeechJ_xxxx__AF58__bin.5,95.48802947,3.959484346
LeechJ_xxxx__AF58__bin.2,93.37748344,2.739313666
LeechJ_xxxx__AF58__bin.4,99.17012448,1.348547718
