representative_95id,domain,phylum,class,order,family,genus,species
DuR_2020__DRS139334__bin.17,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Acetilactobacillus,Acetilactobacillus jinshanensis
EBC_031.14,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter_A,Citrobacter A amalonaticus
EBC_035.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Tatumella,
EBC_040.8,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas_A,Aureimonas A sp001425485
EBC_080.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,Erwinia persicina
EBC_082.15,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia cowanii
EBC_084.33,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Chromohalobacter,
EBC_084.34,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Salinisphaeraceae,Salinisphaera,
EBC_084.37,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus salicampi
EBC_086.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc sp040838325
EBC_088.16,Bacteria,Bacillota,Bacilli,Brevibacillales,Brevibacillaceae,Brevibacillus,Brevibacillus borstelensis
EBC_088.5,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus glycinifermentans
EBC_089.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,Ignatzschineria,Ignatzschineria cameli
EBC_089.14,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Globicatella,Globicatella sulfidifaciens
EBC_089.16,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Proteus,Proteus mirabilis
EBC_089.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paenalcaligenes,Paenalcaligenes hermetiae
EBC_090.9,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus cohnii
EBC_095.37,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,Erwinia sp003937915
EBC_098.21,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus farciminis
EBC_098.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Salinicola,Salinicola salarius A
EBC_110.6,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis sp040635885
EBC_113.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Tatumella,Tatumella ptyseos
EBC_133.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Moellerella,Moellerella wisconsensis
EBC_133.14,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Mycoplasmataceae,Spiroplasma,Spiroplasma citri
EBC_134.5,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
EBC_134.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella michiganensis
EBC_134.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella variicola
EBC_140.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,Erwinia sp000599885
EBC_140.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea brenneri
EBC_144.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter_D,
EBC_147.23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Rahnella,Rahnella aceris
FalardeauJ_2023__SRR20811134__bin.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E taetrolens
FalardeauJ_2023__SRR20811137__bin.9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Hafnia,Hafnia paralvei
FalardeauJ_2023__SRR20811179__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium_A,
FalardeauJ_2023__SRR20811223__bin.4,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium variabile
FalardeauJ_2023__SRR20811224__bin.5,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Galactobacter,
FalardeauJ_2023__SRR20811274__bin.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp014861365
FalardeauJ_2023__SRR20811275__bin.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Morganella,Morganella psychrotolerans
FalardeauJ_2023__SRR20811279__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum
FalardeauJ_2023__SRR20811282__bin.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,Pseudoalteromonas nigrifaciens
FalardeauJ_2023__SRR20811283__bin.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Hafnia,Hafnia alvei
FalardeauJ_2023__SRR20811284__bin.4,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus vitulinus
FalardeauJ_2023__SRR20811285__bin.2,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus
FalardeauJ_2023__SRR20811289__bin.5,Bacteria,Bacillota,Bacilli,Bacillales_A,Planococcaceae,Psychrobacillus,Psychrobacillus psychrotolerans
FalardeauJ_2023__SRR20811292__bin.8,Bacteria,Bacillota,Bacilli,Bacillales_A,Planococcaceae,Sporosarcina,Sporosarcina sp000813425
FalardeauJ_2023__SRR20811293__bin.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Vreelandella,Vreelandella citrativorans
FontanaF_2023__SRR20746834__bin.2,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus B durans
FontanaF_2023__SRR20746838__bin.11,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae
FontanaF_2023__SRR20746839__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum
FontanaF_2023__SRR20746851__bin.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella grimontii
FontanaF_2023__SRR20746854__bin.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter intestinihominis
FontanaF_2023__SRR20746861__bin.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E brenneri
FontanaF_2023__SRR20746866__bin.6,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus_A,Lactococcus A raffinolactis
FontanaF_2023__SRR20746869__bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae B
FontanaF_2023__SRR20746951__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei
FontanaF_2023__SRR20746954__bin.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter faecalis
FontanaF_2023__SRR20746974__bin.3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas E helleri A
FontanaF_2023__SRR20746979__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus
FranciosaI_2021__SRR12227952__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus paraplantarum
GCF_000298875.1_ASM29887v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc gelidum
GCF_000379545.1_ASM37954v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter aceti
GCF_000420365.1_ASM42036v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella halotolerans
GCF_000469325.1_ASM46932v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus,Schleiferilactobacillus shenzhenensis
GCF_000498955.2_NMG01_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus fabifermentans
GCF_000740055.1_ASM74005v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus oryzae
GCF_000785105.2_ASM78510v2_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus curieae
GCF_000817255.2_ASM81725v2_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter intermedius
GCF_000831645.3_ASM83164v3_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus heilongjiangensis
GCF_000965255.1_ASM96525v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus spicheri
GCF_001039045.1_ASM103904v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus herbarum
GCF_001047075.2_ASM104707v2_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructobacillus,Fructobacillus ficulneus
GCF_001047115.2_ASM104711v2_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructobacillus,Fructobacillus pseudoficulneus
GCF_001050115.1_ASM105011v1_genomic,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-4216,Bacillus_O,Bacillus O smithii
GCF_001050475.1_ASM105047v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus ginsenosidimutans
GCF_001433825.1_ASM143382v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei
GCF_001433995.1_ASM143399v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus kimchicus
GCF_001434055.1_ASM143405v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus parabrevis
GCF_001434135.1_ASM143413v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus kisonensis
GCF_001434145.1_ASM143414v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus otakiensis
GCF_001434295.1_ASM143429v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus versmoldensis
GCF_001434395.1_ASM143439v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus hammesii
GCF_001434665.1_ASM143466v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus tucceti
GCF_001434835.1_ASM143483v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus acidifarinae
GCF_001434895.1_ASM143489v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus odoratitofui
GCF_001434915.1_ASM143491v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus capillatus
GCF_001434935.1_ASM143493v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus uvarum
GCF_001434985.1_ASM143498v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus paralimentarius
GCF_001435195.1_ASM143519v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus satsumensis
GCF_001435445.1_ASM143544v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus kimchii
GCF_001435525.1_ASM143552v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus koreensis
GCF_001435975.1_ASM143597v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus collinoides
GCF_001436135.1_ASM143613v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus thailandensis
GCF_001436255.1_ASM143625v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus rapi
GCF_001436275.1_ASM143627v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus oeni
GCF_001436595.1_ASM143659v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus similis
GCF_001436615.1_ASM143661v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus camelliae
GCF_001436675.1_ASM143667v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus senmaizukei
GCF_001436735.1_ASM143673v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus cacaonum
GCF_001437055.1_ASM143705v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus
GCF_001437425.1_ASM143742v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella minor
GCF_001437605.1_ASM143760v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus argentinicus
GCF_001438705.1_ASM143870v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella kandleri
GCF_001438805.1_ASM143880v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus kimchiensis
GCF_001438845.1_ASM143884v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus xiangfangensis
GCF_001702115.1_ASM170211v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus,Fructilactobacillus lindneri
GCF_001702155.1_ASM170215v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus paracollinoides
GCF_001703515.1_ASM170351v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Listeriaceae,Brochothrix,Brochothrix thermosphacta
GCF_001787355.1_ASM178735v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Kozakia,Kozakia baliensis
GCF_001885995.1_ASM188599v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_G,Enterococcus G italicus
GCF_001971585.1_ASM197158v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus allii
GCF_002276885.1_ASM227688v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus parakefiri
GCF_002872255.1_ASM287225v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus nuruki
GCF_003124125.1_ASM312412v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus bambusae
GCF_003353445.1_ASM335344v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella soli
GCF_003403295.1_ASM340329v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter melaceti
GCF_003573535.1_ASM357353v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus formosensis
GCF_003946015.1_ASM394601v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus insicii
GCF_003946025.1_ASM394602v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus songhuajiangensis
GCF_003946045.1_ASM394604v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus mulengensis
GCF_003946085.1_ASM394608v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus angrenensis
GCF_003946095.1_ASM394609v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus lindianensis
GCF_003946115.1_ASM394611v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus daqingensis
GCF_003946145.1_ASM394614v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus huananensis
GCF_003946165.1_ASM394616v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus baoqingensis
GCF_003946175.1_ASM394617v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus suibinensis
GCF_003946205.1_ASM394620v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus keshanensis
GCF_003946215.1_ASM394621v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus mulanensis
GCF_003946265.1_ASM394626v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus yonginensis
GCF_003946305.1_ASM394630v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus porcinae
GCF_003946325.1_ASM394632v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus furfuricola
GCF_003946335.1_ASM394633v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus fujinensis
GCF_003946345.1_ASM394634v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus tongjiangensis
GCF_003946385.1_ASM394638v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus zhaoyuanensis
GCF_003946395.1_ASM394639v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus fuyuanensis
GCF_003946405.1_ASM394640v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus yichunensis
GCF_003946445.1_ASM394644v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus jiayinensis
GCF_003946465.1_ASM394646v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus hegangensis
GCF_003946485.1_ASM394648v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus jixianensis
GCF_003946505.1_ASM394650v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus mishanensis
GCF_003946515.1_ASM394651v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus zhongbaensis
GCF_003946545.1_ASM394654v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus tangyuanensis
GCF_003946555.1_ASM394655v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus hulinensis
GCF_003946575.1_ASM394657v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus jidongensis
GCF_003946605.1_ASM394660v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus baiquanensis
GCF_003946625.1_ASM394662v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus kedongensis
GCF_003946645.1_ASM394664v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus wuchangensis
GCF_003946655.1_ASM394665v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus achengensis
GCF_003946675.1_ASM394667v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus gannanensis
GCF_003946695.1_ASM394669v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus bayanensis
GCF_003946725.1_ASM394672v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Agrilactobacillus,Agrilactobacillus yilanensis
GCF_003967595.1_ASM396759v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus musae
GCF_004010095.1_ASM401009v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus hulanensis
GCF_004014775.2_ASM401477v2_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter oryzoeni
GCF_004102045.2_ASM410204v2_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus sicerae
GCF_004136575.1_ASM413657v1_genomic,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Rothia,Rothia koreensis
GCF_004745505.1_ASM474550v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus suantsaiihabitans
GCF_004745525.1_ASM474552v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus suantsaicola
GCF_004771075.1_ASM477107v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella confusa
GCF_005404815.1_ASM540481v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus huachuanensis
GCF_005404945.1_ASM540494v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus pingfangensis
GCF_005405005.1_ASM540500v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus daoliensis
GCF_005405065.1_ASM540506v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus nangangensis
GCF_005405085.1_ASM540508v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus daowaiensis
GCF_005405105.1_ASM540510v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus dongliensis
GCF_005405125.1_ASM540512v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus songbeiensis
GCF_005405145.1_ASM540514v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,Paucilactobacillus kaifaensis
GCF_005405165.1_ASM540516v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus binensis
GCF_005405385.1_ASM540538v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus mudanjiangensis
GCF_005405405.1_ASM540540v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plajomi
GCF_005405425.1_ASM540542v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus modestisalitolerans
GCF_006007945.1_ASM600794v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus futsaii
GCF_006539325.1_ASM653932v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter orleanensis
GCF_006740305.1_ASM674030v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
GCF_007115095.1_ASM711509v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus enshiensis
GCF_007833675.1_ASM783367v1_genomic,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter suwonensis
